review,rating,date,bank,source,vader_sentiment,bert_sentiment,clean_review,identified_theme
Best app,5,2025-05-09,BOA,Google Play,positive,POSITIVE,good app,['Other']
liking this application good 👍,5,2025-05-07,BOA,Google Play,positive,POSITIVE,like application good 👍,['Other']
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,Google Play,negative,NEGATIVE,"app future good , problem app reset activate , difficult branch staff , take long time active branch plus time high expect failure activation process counter OTP sent work",['Other']
wow,5,2025-04-28,BOA,Google Play,positive,POSITIVE,wow,['Other']
it's really good 👍,5,2025-04-23,BOA,Google Play,positive,POSITIVE,good 👍,['Other']
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,Google Play,negative,NEGATIVE,bad app . stick open note works .,['Other']
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,Google Play,neutral,NEGATIVE,"app work ask password start load , open",['Account Access Issues']
Best,2,2025-04-19,BOA,Google Play,positive,POSITIVE,well,['Other']
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,Google Play,negative,NEGATIVE,keep show pop turn developer option tho ! turn work ! horrible experience need fix asap ! plus kinda slow .,['Transaction Performance']
yideg,1,2025-04-18,BOA,Google Play,neutral,NEGATIVE,yideg,['Other']
አይከፍትም እኮ,1,2025-04-17,BOA,Google Play,neutral,NEGATIVE,አይከፍትም እኮ,['Other']
great boa,5,2025-04-10,BOA,Google Play,positive,POSITIVE,great boa,['Other']
boa of mobile backing,5,2025-04-09,BOA,Google Play,neutral,NEGATIVE,boa mobile backing,['Other']
faster bank of Abissinya,5,2025-04-08,BOA,Google Play,neutral,POSITIVE,fast bank Abissinya,['Other']
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,Google Play,negative,NEGATIVE,give low possible crush bank long fix bug,['Other']
it just doesn't work...so frustrating,1,2025-04-07,BOA,Google Play,positive,NEGATIVE,work ... frustrating,['Other']
like,5,2025-04-06,BOA,Google Play,positive,POSITIVE,like,['Other']
it's not work correctly... you must have update it,1,2025-04-06,BOA,Google Play,neutral,NEGATIVE,work correctly ... update,['Other']
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,BOA,Google Play,positive,POSITIVE,"app get considerable improvement like language , qr scanner unlimited transfer survice . BOA alot fastness convenient login make transaction .","['Account Access Issues', 'Transaction Performance']"
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,BOA,Google Play,positive,NEGATIVE,type password say successfully log ... go page,['Account Access Issues']
good but they don't update enough don't add new things,3,2025-04-04,BOA,Google Play,positive,NEGATIVE,good update add new thing,['Other']
very good,5,2025-04-03,BOA,Google Play,positive,POSITIVE,good,['Other']
thank you,5,2025-04-02,BOA,Google Play,positive,POSITIVE,thank,['Other']
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,BOA,Google Play,neutral,NEGATIVE,work period z slow mobile banking use * 815 #,['Transaction Performance']
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,BOA,Google Play,neutral,NEGATIVE,"activate application allow sign , automatically turn phone , ?",['Other']
good application,5,2025-03-30,BOA,Google Play,positive,POSITIVE,good application,['Other']
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,BOA,Google Play,neutral,NEGATIVE,version work buy card . send money,['Other']
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,BOA,Google Play,negative,NEGATIVE,"actively initialization , say incorrect OTP get exact OTP",['Other']
always problematic hardly works,1,2025-03-26,BOA,Google Play,negative,NEGATIVE,problematic hardly work,['Other']
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,BOA,Google Play,positive,NEGATIVE,consider fact bank huge app bad well,['Other']
best app,5,2025-03-25,BOA,Google Play,positive,POSITIVE,good app,['Other']
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,BOA,Google Play,negative,NEGATIVE,"bad app Bank u ashamed , scammer",['Other']
great BoA,5,2025-03-22,BOA,Google Play,positive,POSITIVE,great BoA,['Other']
best,5,2025-03-21,BOA,Google Play,positive,POSITIVE,well,['Other']
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,BOA,Google Play,positive,NEGATIVE,go bank time transaction balance point have mobile banking transaction work,['Other']
there is no speed,1,2025-03-19,BOA,Google Play,negative,NEGATIVE,speed,['Transaction Performance']
"For anyone who wants to download it, just don't!!!",1,2025-03-19,BOA,Google Play,neutral,NEGATIVE,"want download , ! ! !",['Other']
wonderful,5,2025-03-19,BOA,Google Play,positive,POSITIVE,wonderful,['Other']
all worck,5,2025-03-19,BOA,Google Play,neutral,NEGATIVE,worck,['Other']
Loved it,5,2025-03-14,BOA,Google Play,positive,POSITIVE,love,['Other']
Wow,1,2025-03-14,BOA,Google Play,positive,POSITIVE,wow,['Other']
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,BOA,Google Play,positive,NEGATIVE,"edit : new bug , app let type otp code . shameful app allow use have developer option ? you consider , , actual developer ? expect toggle option bank ( restart phone ) ? message lable somthe "" smoothen "" experience ? like "" security consultant "" thing implement app . invest actual security , mess .",['Other']
Improved to be the best,5,2025-03-11,BOA,Google Play,positive,POSITIVE,improve good,['Other']
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,BOA,Google Play,negative,NEGATIVE,"Decent , problem say error transfer money infact transfer bug transfer 2 time instead 1 transfer money telebirr acc self BOE Dev fix ! ! !","['Account Access Issues', 'Transaction Performance']"
BoA Greqt Ethiopian bank.,5,2025-03-11,BOA,Google Play,neutral,NEGATIVE,boa Greqt ethiopian bank .,['Other']
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,BOA,Google Play,positive,NEGATIVE,"bug , app crash time try log , especially old phone like Galaxy A32",['Other']
Almost better compared to cbe where it is not qualified for,4,2025-03-09,BOA,Google Play,positive,NEGATIVE,well compare cbe qualified,['Other']
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,BOA,Google Play,positive,POSITIVE,awesome app . simple use important app .,['Other']
Wonderfull app,5,2025-03-08,BOA,Google Play,neutral,POSITIVE,Wonderfull app,['Other']
i can't use this app why?,5,2025-03-07,BOA,Google Play,neutral,NEGATIVE,use app ?,['Other']
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,BOA,Google Play,positive,NEGATIVE,bad mobile banking app experience blame app compare well ! ! ! ! clash take long time login load short complete trash,['Account Access Issues']
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,BOA,Google Play,negative,NEGATIVE,bro bad app human kind ! ! software engineer sad see enterprise big BOA app like . disgrace country ! !,['Other']
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,BOA,Google Play,negative,NEGATIVE,AGA B Girja Miss language admin Afaan oromo & Itoophiyaa language,['Other']
Good app,5,2025-03-03,BOA,Google Play,positive,POSITIVE,good app,['Other']
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,BOA,Google Play,neutral,NEGATIVE,"download app time read customer review soon instal open app close automatically , unserious bank , uninstalle app immediately",['Other']
It has good features but sometimes it doesn't work...0,1,2025-03-02,BOA,Google Play,positive,NEGATIVE,good feature work ... 0,['Other']
Very poor proformance,1,2025-03-01,BOA,Google Play,negative,NEGATIVE,poor proformance,['Other']
It's not opening. Really frustrating,1,2025-03-01,BOA,Google Play,positive,NEGATIVE,open . frustrating,['Other']
Verry Amazing App from all IB,5,2025-03-01,BOA,Google Play,positive,POSITIVE,verry Amazing App IB,['Other']
Not working on this days,1,2025-02-26,BOA,Google Play,neutral,NEGATIVE,work day,['Other']
Thank you BoA,5,2025-02-23,BOA,Google Play,positive,POSITIVE,thank BoA,['Other']
best banking app in the wworld,5,2025-02-22,BOA,Google Play,positive,POSITIVE,good banking app wworld,['Other']
Nice app and it's easy to use,5,2025-02-21,BOA,Google Play,positive,POSITIVE,nice app easy use,['User Interface & Experience']
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,BOA,Google Play,positive,NEGATIVE,"add language app setting(amharic afan oromo , tigniya , ) bank bank transfer available time available reachable … issue !",['Transaction Performance']
This is help full i like ittttt,5,2025-02-14,BOA,Google Play,positive,POSITIVE,help like ittttt,['Customer Support']
The is not functional at all?,2,2025-02-12,BOA,Google Play,neutral,NEGATIVE,functional ?,['Other']
Best bank,5,2025-02-08,BOA,Google Play,positive,POSITIVE,good bank,['Other']
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,BOA,Google Play,positive,POSITIVE,easy convienient use perfect high prefrence choice .,['User Interface & Experience']
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,BOA,Google Play,neutral,NEGATIVE,🇪 🇹 🇪 🇹 🇪 🇹 🇪 🇹 🇪 🇹 🇪 🇹 👍 👍 👍 👍 👍 👍 👍,['Other']
I have been using this app for two years.It is amazing.,5,2025-02-01,BOA,Google Play,positive,POSITIVE,app year . amazing .,['Other']
Good 👍,5,2025-01-31,BOA,Google Play,positive,POSITIVE,good 👍,['Other']
Sad experience,1,2025-01-30,BOA,Google Play,negative,NEGATIVE,sad experience,['Other']
Always do update and that is annoying,3,2025-01-27,BOA,Google Play,negative,NEGATIVE,update annoying,['Other']
"Best app, somehow waiting a few minutes",5,2025-01-23,BOA,Google Play,positive,NEGATIVE,"good app , wait minute",['Other']
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,BOA,Google Play,neutral,NEGATIVE,dijitalize atm apollo app phone,['Other']
Whenever I try to sign in app close please fixed it out,2,2025-01-21,BOA,Google Play,positive,NEGATIVE,try sign app close fix,['Other']
Beter,5,2025-01-21,BOA,Google Play,neutral,POSITIVE,beter,['Other']
Boa,4,2025-01-18,BOA,Google Play,neutral,NEGATIVE,Boa,['Other']
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,BOA,Google Play,neutral,NEGATIVE,በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ App slow ehhhh . upgrade app ? ? ? ? zero,['Transaction Performance']
Aadan Axmed Barkhadle,5,2025-01-17,BOA,Google Play,neutral,POSITIVE,Aadan Axmed Barkhadle,['Other']
😡😡😡🤬🤬🤬,1,2025-01-16,BOA,Google Play,neutral,NEGATIVE,😡 😡 😡 🤬 🤬 🤬,['Other']
Horrible customer service and app crashes Horrible!!,1,2025-01-15,BOA,Google Play,negative,NEGATIVE,horrible customer service app crash horrible ! !,['Customer Support']
I love it,5,2025-01-14,BOA,Google Play,positive,POSITIVE,love,['Other']
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,BOA,Google Play,neutral,NEGATIVE,keep ask turn developer mode dev mode . use .,['Other']
Good🙏,5,2025-01-12,BOA,Google Play,positive,NEGATIVE,good 🙏,['Other']
Like to much,5,2025-01-11,BOA,Google Play,positive,POSITIVE,like,['Other']
Thank you,5,2025-01-10,BOA,Google Play,positive,POSITIVE,thank,['Other']
Perfect,5,2025-01-09,BOA,Google Play,positive,POSITIVE,perfect,['Other']
The best of best,5,2025-01-09,BOA,Google Play,positive,POSITIVE,good good,['Other']
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,BOA,Google Play,positive,NEGATIVE,app long time amazing user friendly UI find pin button app,['User Interface & Experience']
Great 👍,5,2025-01-04,BOA,Google Play,positive,POSITIVE,great 👍,['Other']
Fast and suitable for the customers.,5,2025-01-04,BOA,Google Play,neutral,POSITIVE,fast suitable customer .,['Other']
Good app and helpful,5,2025-01-03,BOA,Google Play,positive,POSITIVE,good app helpful,['Customer Support']
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,BOA,Google Play,negative,NEGATIVE,"star , face multiple problem . 1 . app fast bank App , e.g like CBE 2 . App ask repeatedly switch developer option , switch . 3 . Bank Abyssinia service interesting , ignore issue App service . 4 . customer give complain App , accept complain fix issue . 5 . lastly , recommend App issue solve asap ! !",['Customer Support']
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,BOA,Google Play,negative,NEGATIVE,assess tell Abyssinia bank idea mobile banking ?,['Other']
It doesn't work at all.,2,2025-01-02,BOA,Google Play,neutral,NEGATIVE,work .,['Other']
this app is not available,1,2025-01-02,BOA,Google Play,neutral,NEGATIVE,app available,['Other']
Wow what amazing,5,2024-12-30,BOA,Google Play,positive,POSITIVE,wow amazing,['Other']
love it,5,2024-12-30,BOA,Google Play,positive,POSITIVE,love,['Other']
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,BOA,Google Play,neutral,NEGATIVE,በጣም መሻሻል አለበት ....... ለ ባንኩ ማይመጥን መተግበርያ ነው : :,['Other']
Lemn embi yilal??,5,2024-12-30,BOA,Google Play,neutral,NEGATIVE,lemn embi yilal ? ?,['Other']
Good,5,2024-12-30,BOA,Google Play,positive,POSITIVE,good,['Other']
It's useless app downgraded.,1,2024-12-29,BOA,Google Play,negative,NEGATIVE,useless app downgrade .,['Other']
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,BOA,Google Play,neutral,NEGATIVE,let access account . point app gey access account physically bank . zero suffice point accross .,['Account Access Issues']
Nice,5,2024-12-26,BOA,Google Play,positive,POSITIVE,nice,['Other']
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,BOA,Google Play,negative,NEGATIVE,go rid real app work ? far bad mobile banking app .,['Other']
አይሰራም ሼም ነው፤,1,2024-12-23,BOA,Google Play,neutral,NEGATIVE,አይሰራም ሼም ነው፤,['Other']
Not that much bad,3,2024-12-22,BOA,Google Play,positive,POSITIVE,bad,['Other']
Fine,5,2024-12-21,BOA,Google Play,positive,POSITIVE,fine,['Other']
The dirtiest application ever seen...,1,2024-12-20,BOA,Google Play,negative,NEGATIVE,dirty application see ...,['Other']
Nic ap,5,2024-12-19,BOA,Google Play,neutral,POSITIVE,Nic ap,['Other']
The forest app ever,1,2024-12-19,BOA,Google Play,neutral,POSITIVE,forest app,['Other']
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,BOA,Google Play,positive,NEGATIVE,"love boa curse come mobile banking . ine hetter s*ck ! ask turn developer option wise will work ! use CBE , Awash birr , tekebirr , Dashen bank non ask , boa ? improve mobile banking , competitive !",['Other']
Bank of abissena,1,2024-12-17,BOA,Google Play,neutral,POSITIVE,Bank abissena,['Other']
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,BOA,Google Play,positive,NEGATIVE,"easy sooo simple use , easy stole someone money app",['User Interface & Experience']
GOOD,5,2024-12-15,BOA,Google Play,positive,POSITIVE,good,['Other']
The worst banking app ever. Never works!,1,2024-12-14,BOA,Google Play,negative,NEGATIVE,bad banking app . work !,['Other']
Poorly functioning app,3,2024-12-13,BOA,Google Play,neutral,NEGATIVE,poorly function app,['Other']
Very nice,5,2024-12-13,BOA,Google Play,positive,POSITIVE,nice,['Other']
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,BOA,Google Play,negative,NEGATIVE,system bad well 😡 😡 😡 😡 😡 😡,['Other']
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,BOA,Google Play,negative,NEGATIVE,guy start give mobile app service work . sure know work sure lazy incompetent fix . lose business . Complacency consequence .,['Customer Support']
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,BOA,Google Play,positive,POSITIVE,"good app ; feature awesome , work need turn developer option . tired have constantly switch developer option . express struggle . precious setting enable developer option , open App Boa app , turn . help , Abyssinia Bank . hope provide update soon .",['Customer Support']
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,BOA,Google Play,negative,NEGATIVE,"give app star option . experience incredibly frustrating extremely long loading time , app close automatically time . People choose mobile banking convenience , app far time - consume , make bad . hope improvement enhance user experience .",['Other']
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,BOA,Google Play,negative,NEGATIVE,unprofessional mischievous bank opinion . occasion recently Abyssinia Card withdraw money deduct account despite report time say process learn yesterday 3 month bank decide include income . absurd . avoid bank .,['Other']
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,BOA,Google Play,neutral,NEGATIVE,work 2 device A05 A34 😡,['Other']
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,BOA,Google Play,positive,NEGATIVE,well use boa pull phone open app,['Other']
My attention is very important because it will be the most difficult time for me,5,2024-11-30,BOA,Google Play,negative,POSITIVE,attention important difficult time,['Other']
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,BOA,Google Play,negative,NEGATIVE,"bad experience mobile application year . time fail "" login "" automatically close app . take loading time ( 5 minute + ) try access internal service . transfer bank fail . , BOA fix app .","['Account Access Issues', 'Transaction Performance', 'Customer Support']"
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,BOA,Google Play,positive,POSITIVE,know app start great sudden work 🤷 ‍ ♀ ️,['Other']
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,BOA,Google Play,negative,NEGATIVE,application lose major faction daily basis . count time app ; completely useless disappointing go use time need point .,['Other']
exellent digital transaction of money,5,2024-11-27,BOA,Google Play,neutral,NEGATIVE,exellent digital transaction money,['Other']
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,BOA,Google Play,negative,NEGATIVE,late update stop android 9 phone open App . work properly start .,['Other']
Great,5,2024-11-25,BOA,Google Play,positive,POSITIVE,great,['Other']
👏👏👏,5,2024-11-24,BOA,Google Play,neutral,NEGATIVE,👏 👏 👏,['Other']
Money,5,2024-11-24,BOA,Google Play,neutral,POSITIVE,money,['Other']
It needs more improvment,2,2024-11-24,BOA,Google Play,neutral,NEGATIVE,need improvment,['Other']
Hey Google,5,2024-11-21,BOA,Google Play,neutral,POSITIVE,hey Google,['Other']
ab,3,2024-11-20,BOA,Google Play,neutral,POSITIVE,ab,['Other']
Ademtahir,5,2024-11-20,BOA,Google Play,neutral,POSITIVE,Ademtahir,['Other']
✌️✌️,5,2024-11-20,BOA,Google Play,neutral,NEGATIVE,✌ ️ ✌ ️,['Other']
Please this app on my android phone,3,2024-11-20,BOA,Google Play,positive,POSITIVE,app android phone,['Other']
GOAT 🐐 🐐,5,2024-11-19,BOA,Google Play,neutral,NEGATIVE,GOAT 🐐 🐐,['Other']
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,BOA,Google Play,positive,NEGATIVE,"app match bank , app disaster , super slow . learn tele birr app .",['Transaction Performance']
Fast and reliable,5,2024-11-18,BOA,Google Play,neutral,POSITIVE,fast reliable,['Other']
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,BOA,Google Play,negative,NEGATIVE,"bad app update . include "" developer option "" thing ? care ? phone money , right ? reason switch bank . turn discontinue business .",['Other']
Very good,5,2024-11-14,BOA,Google Play,positive,POSITIVE,good,['Other']
One of the poorest mobile banking system,1,2024-11-13,BOA,Google Play,negative,NEGATIVE,poor mobile banking system,['Other']
❤❤❤❤❤❤,5,2024-11-12,BOA,Google Play,positive,NEGATIVE,❤ ❤ ❤ ❤ ❤ ❤,['Other']
Oene,5,2024-11-12,BOA,Google Play,neutral,POSITIVE,oene,['Other']
i find it interesting specially in reciept downloading,1,2024-11-12,BOA,Google Play,positive,POSITIVE,find interesting specially reciept download,['Other']
it good,5,2024-11-12,BOA,Google Play,positive,POSITIVE,good,['Other']
"This app crashes everytime, please fix it",1,2024-11-12,BOA,Google Play,positive,NEGATIVE,"app crash everytime , fix",['Other']
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,BOA,Google Play,neutral,NEGATIVE,አንድ star ራሱ ይበዛበታል። not recomend use app bank,['Other']
I need a support the app is not working,5,2024-11-12,BOA,Google Play,positive,NEGATIVE,need support app work,['Customer Support']
Bast bank of ethiopia,5,2024-11-12,BOA,Google Play,neutral,POSITIVE,Bast bank ethiopia,['Other']
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12,BOA,Google Play,neutral,NEGATIVE,slow app . አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app . ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,['Transaction Performance']
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,BOA,Google Play,positive,POSITIVE,"thank social service like , vertual banking , non touch ATM , Cadrless withdrwal passbook ...",['Customer Support']
The worst App i have never seen like this before,1,2024-11-12,BOA,Google Play,negative,NEGATIVE,bad App see like,['Other']
Wweeeer,4,2024-11-12,BOA,Google Play,neutral,NEGATIVE,wweeeer,['Other']
Infinx,5,2024-11-12,BOA,Google Play,neutral,NEGATIVE,infinx,['Other']
Great service,5,2024-11-12,BOA,Google Play,positive,POSITIVE,great service,['Customer Support']
👍,5,2024-11-11,BOA,Google Play,neutral,NEGATIVE,👍,['Other']
This app is not available on all android versions and some times it is not functional.,1,2024-11-08,BOA,Google Play,neutral,NEGATIVE,app available android version time functional .,['Other']
senayt Mesfin,4,2024-11-08,BOA,Google Play,neutral,POSITIVE,senayt Mesfin,['Other']
