review,rating,date,bank,source,vader_sentiment,bert_sentiment,clean_review,identified_theme
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,positive,POSITIVE,good try facilitate client,['Other']
best app,5,2025-06-01,CBE,Google Play,positive,POSITIVE,good app,['Other']
Awesome bank,5,2025-06-01,CBE,Google Play,positive,POSITIVE,Awesome bank,['Other']
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,positive,NEGATIVE,app develop good way comment need 1- prevent screenshot likely good like coz need screenshot quick evidence . 2 - good access recent transaction history 30 day coz Bank person old transaction add colander category user easily access old transaction colander .,['Account Access Issues']
Masha alla,5,2025-05-31,CBE,Google Play,neutral,NEGATIVE,Masha alla,['Other']
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,negative,NEGATIVE,"recently big problem send safaricom , telebir , cbebirr wallet anybody responsible fix , frustrating 5 day money return take account send mpesa update- correct send money afraid send",['Other']
better service,5,2025-05-31,CBE,Google Play,positive,POSITIVE,well service,['Customer Support']
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,positive,POSITIVE,", s good app time manager 👍",['Other']
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,neutral,NEGATIVE,malkaamuu Jiidhaa Namoo,['Other']
lower system everything,3,2025-05-30,CBE,Google Play,negative,NEGATIVE,low system,['Other']
Nice!,5,2025-05-30,CBE,Google Play,positive,POSITIVE,nice !,['Other']
Keep it up My CBE,5,2025-05-29,CBE,Google Play,neutral,POSITIVE,CBE,['Other']
yes good,5,2025-05-28,CBE,Google Play,positive,POSITIVE,yes good,['Other']
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,negative,NEGATIVE,"app year problem . stop work 3 month ago . try transfer fund give error "" transaction . inactive account . ""","['Account Access Issues', 'Transaction Performance']"
i like everything of this app,5,2025-05-27,CBE,Google Play,positive,POSITIVE,like app,['Other']
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,neutral,NEGATIVE,🤬 🤬 🤬 🤬 network 🛜,['Other']
Best,5,2025-05-26,CBE,Google Play,positive,POSITIVE,well,['Other']
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,positive,POSITIVE,CBE good financial application dimple use . like thank developer application . appreciate app .,['Other']
nice,5,2025-05-26,CBE,Google Play,positive,POSITIVE,nice,['Other']
good job,5,2025-05-26,CBE,Google Play,positive,POSITIVE,good job,['Other']
it's awesome!!,5,2025-05-25,CBE,Google Play,positive,POSITIVE,awesome ! !,['Other']
thankyou every one,5,2025-05-25,CBE,Google Play,neutral,POSITIVE,thankyou,['Other']
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,positive,POSITIVE,Ronaldo 🇵 🇹 🥇,['Other']
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,positive,POSITIVE,"app absolutely fantastic love enjoy , let support foundation .",['Customer Support']
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,negative,NEGATIVE,"CBE app highly unreliable recent week . frequently fail work properly Ethio Telecom Safaricom network , Wi - Fi mobile datum . week , system entirely extended period , make difficult access banking service . app function intermittently , lack consistency frustrating . hope issue address soon , non - technical influence remove essential service .","['Account Access Issues', 'Customer Support']"
mortuary app,5,2025-05-25,CBE,Google Play,neutral,NEGATIVE,mortuary app,['Other']
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,positive,NEGATIVE,smart app stop period time device reason .,['Other']
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,positive,POSITIVE,amazing app app year,['Other']
👍,5,2025-05-24,CBE,Google Play,neutral,NEGATIVE,👍,['Other']
good app,5,2025-05-24,CBE,Google Play,positive,POSITIVE,good app,['Other']
i love it 😍😘,5,2025-05-24,CBE,Google Play,positive,POSITIVE,love 😍 😘,['Other']
It makes life easy!👌,5,2025-05-24,CBE,Google Play,positive,POSITIVE,make life easy ! 👌,['User Interface & Experience']
its not fast,1,2025-05-24,CBE,Google Play,neutral,NEGATIVE,fast,['Other']
wow,4,2025-05-24,CBE,Google Play,positive,POSITIVE,wow,['Other']
it is sooo good,5,2025-05-24,CBE,Google Play,positive,POSITIVE,sooo good,['Other']
excellent,5,2025-05-24,CBE,Google Play,positive,POSITIVE,excellent,['Other']
ok,1,2025-05-24,CBE,Google Play,positive,POSITIVE,ok,['Other']
Fantastic,5,2025-05-23,CBE,Google Play,positive,POSITIVE,fantastic,['Other']
accessible to using,5,2025-05-23,CBE,Google Play,neutral,POSITIVE,accessible,['Account Access Issues']
I like it,4,2025-05-23,CBE,Google Play,positive,POSITIVE,like,['Other']
why you change default network?,5,2025-05-23,CBE,Google Play,neutral,NEGATIVE,change default network ?,['Other']
very nice 👍,5,2025-05-23,CBE,Google Play,positive,POSITIVE,nice 👍,['Other']
nice fast app,5,2025-05-23,CBE,Google Play,positive,POSITIVE,nice fast app,['Other']
how to I get my money,5,2025-05-23,CBE,Google Play,neutral,NEGATIVE,money,['Other']
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,negative,NEGATIVE,"bad , load need improve service .",['Customer Support']
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,positive,POSITIVE,"good app , reliable . crash .",['Other']
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,neutral,NEGATIVE,busy know ... prefer 889,['Other']
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,neutral,NEGATIVE,"nasty lag hour fix , rest 👌",['Other']
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,negative,NEGATIVE,boring Mobil banking application ethiopia . use alternative private bank mobile banking app,['Other']
hojii bonsaadha,5,2025-05-22,CBE,Google Play,neutral,POSITIVE,hojii bonsaadha,['Other']
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,positive,POSITIVE,user - friendly apps.because app easy .,['User Interface & Experience']
Awosome!!!,5,2025-05-22,CBE,Google Play,neutral,POSITIVE,awosome ! ! !,['Other']
"Very good app,",5,2025-05-22,CBE,Google Play,positive,POSITIVE,"good app ,",['Other']
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,positive,NEGATIVE,sync problem 22 2025 date stack 8 2025 help pls,['Customer Support']
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,positive,POSITIVE,ይህ መተግበሪያ በጣም ጥሩ ነው . app nice,['Other']
I hate this app 😒,1,2025-05-22,CBE,Google Play,negative,NEGATIVE,hate app 😒,['Other']
trustful,5,2025-05-22,CBE,Google Play,positive,POSITIVE,trustful,['Other']
I like,5,2025-05-22,CBE,Google Play,positive,POSITIVE,like,['Other']
update issue,4,2025-05-22,CBE,Google Play,neutral,POSITIVE,update issue,['Other']
its not working over safari network,1,2025-05-22,CBE,Google Play,neutral,NEGATIVE,work safari network,['Other']
oldie,1,2025-05-22,CBE,Google Play,neutral,NEGATIVE,oldie,['Other']
it doesn't work,1,2025-05-21,CBE,Google Play,neutral,NEGATIVE,work,['Other']
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,positive,POSITIVE,"app good ,",['Other']
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,positive,POSITIVE,nice 👌 app android phone,['Other']
Yes Yes,5,2025-05-21,CBE,Google Play,positive,POSITIVE,yes yes,['Other']
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,neutral,NEGATIVE,በጣም ከርፋፋ,['Other']
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,positive,POSITIVE,easy use helpful life,"['User Interface & Experience', 'Customer Support']"
good 👍,4,2025-05-21,CBE,Google Play,positive,POSITIVE,good 👍,['Other']
the best mobile banking app,5,2025-05-21,CBE,Google Play,positive,POSITIVE,good mobile banking app,['Other']
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,positive,POSITIVE,"app useful app , save time , secure",['Other']
it's a good application 👍,5,2025-05-21,CBE,Google Play,positive,POSITIVE,good application 👍,['Other']
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,negative,NEGATIVE,screenshot reffresh option annoying make transaction delay activity !,['Transaction Performance']
poor service,1,2025-05-21,CBE,Google Play,negative,NEGATIVE,poor service,['Customer Support']
amazing,5,2025-05-20,CBE,Google Play,positive,POSITIVE,amazing,['Other']
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,positive,POSITIVE,reliable easy use .,['User Interface & Experience']
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,negative,NEGATIVE,annoying mobile banking app see,['Other']
Cbe mobile banking,5,2025-05-20,CBE,Google Play,neutral,POSITIVE,Cbe mobile banking,['Other']
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,positive,NEGATIVE,"Screenshout app , modification",['Other']
Best app I loved it,5,2025-05-19,CBE,Google Play,positive,POSITIVE,good app love,['Other']
nice app,5,2025-05-19,CBE,Google Play,positive,POSITIVE,nice app,['Other']
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,positive,NEGATIVE,amazing applicatiom not work !,['Other']
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,positive,POSITIVE,satisfied beautiful app,['Other']
very good,4,2025-05-17,CBE,Google Play,positive,POSITIVE,good,['Other']
best app.,5,2025-05-17,CBE,Google Play,positive,POSITIVE,good app .,['Other']
"not working,why???",5,2025-05-17,CBE,Google Play,neutral,NEGATIVE,"work , ? ? ?",['Other']
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,positive,NEGATIVE,great impact developer option turnoff fix 🙏 🙏 🙏,['Other']
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,negative,NEGATIVE,disappointing ! especially ios ! ! similar local application extremely superior application ! ! disappointing !,['Other']
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,neutral,NEGATIVE,woxe harimo ribiso,['Other']
"Good ,easy to use",5,2025-05-16,CBE,Google Play,positive,POSITIVE,"good , easy use",['User Interface & Experience']
Good app,5,2025-05-15,CBE,Google Play,positive,POSITIVE,good app,['Other']
Good job👍,5,2025-05-14,CBE,Google Play,positive,POSITIVE,good job 👍,['Other']
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,positive,POSITIVE,"kindly ask update app allow screenshot , convenient efficient long add security access reason block screenshoote screen .",['Account Access Issues']
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,positive,NEGATIVE,CBE mobile banking app . overall appreciate feutere i.ve nottice turn Developer option divice App . stop function prorerly . great look issue l need access developer setting Otter Application ThankYou attention Matter,['Account Access Issues']
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,negative,NEGATIVE,customer service bad good bank,['Customer Support']
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,positive,NEGATIVE,Amazing Mobile Banking App .... screenshot receipt not work,['Other']
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,positive,POSITIVE,fast simple easy use 👌,['User Interface & Experience']
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,neutral,POSITIVE,fast transferring app reliable,['Transaction Performance']
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,neutral,NEGATIVE,"fund transfer bank reflect account , confirmation text message receive .",['Transaction Performance']
it's easy and fast,5,2025-05-10,CBE,Google Play,positive,POSITIVE,easy fast,['User Interface & Experience']
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,negative,NEGATIVE,app self activation look near cbe branch disgusting,['Other']
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,positive,POSITIVE,hello dear CBE office personnel benefit interest free account thank help,['Customer Support']
wow best application ever,5,2025-05-09,CBE,Google Play,positive,POSITIVE,wow good application,['Other']
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,negative,NEGATIVE,"sorry developer mode application ? hack ? sure developer stupid , not make sense ,",['Other']
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,positive,POSITIVE,pride ethiopian bank 🏦,['Other']
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,positive,NEGATIVE,app tell turn developer option fix .,['Other']
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,positive,POSITIVE,happy . small prob . transfer not transfer cashe bil dic .,['Transaction Performance']
amazing apps,5,2025-05-06,CBE,Google Play,positive,POSITIVE,amazing app,['Other']
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,neutral,POSITIVE,service Mobile Banking,['Customer Support']
needs improvement,1,2025-05-06,CBE,Google Play,positive,NEGATIVE,need improvement,['Other']
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,negative,NEGATIVE,miss old send mony bank ..,['Other']
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,positive,NEGATIVE,app recently crush time open try transfer ... good . lesson Dashen Super app ethiotelecom . befit experience glory . inv3st make friendly convenient . consider leave CBE good .,['Transaction Performance']
good but these week not oky,4,2025-05-06,CBE,Google Play,positive,NEGATIVE,good week oky,['Other']
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,positive,POSITIVE,design ! fix bug & step verification biometric ... simply great !,['User Interface & Experience']
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,positive,NEGATIVE,developer read fix screenshot functionality download button work flawlessly touch time .,['Other']
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,positive,POSITIVE,"great job.but thing , place transfer bank face like mobile charge card place",['Transaction Performance']
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,neutral,POSITIVE,CBE mobilr bankg,['Other']
verygood,3,2025-05-05,CBE,Google Play,neutral,POSITIVE,verygood,['Other']
ممتاز جدا,5,2025-05-04,CBE,Google Play,neutral,NEGATIVE,ممتاز جدا,['Other']
it's very low quality application,1,2025-05-04,CBE,Google Play,negative,NEGATIVE,low quality application,['Other']
Very Amazing Apps,5,2025-05-04,CBE,Google Play,positive,POSITIVE,Amazing Apps,['Other']
አዛ,1,2025-05-04,CBE,Google Play,neutral,NEGATIVE,አዛ,['Other']
wow simple life,5,2025-05-04,CBE,Google Play,positive,POSITIVE,wow simple life,['Other']
it's nice,5,2025-05-03,CBE,Google Play,positive,POSITIVE,nice,['Other']
Why stacked sometimes,5,2025-05-03,CBE,Google Play,neutral,NEGATIVE,stack,['Other']
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,positive,NEGATIVE,okay 👍 busy,['Other']
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,negative,NEGATIVE,bad commercial company fail normal thing .,['Other']
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,negative,NEGATIVE,good app . disappoint general cessation system .,['Other']
Good and fast,5,2025-05-02,CBE,Google Play,positive,POSITIVE,good fast,['Other']
Unreliable!,1,2025-05-02,CBE,Google Play,neutral,NEGATIVE,unreliable !,['Other']
Best the best fast,5,2025-05-02,CBE,Google Play,positive,POSITIVE,well good fast,['Other']
happy,5,2025-05-02,CBE,Google Play,positive,POSITIVE,happy,['Other']
fast and reliable,5,2025-05-02,CBE,Google Play,neutral,POSITIVE,fast reliable,['Other']
network errorrrrrr,2,2025-05-02,CBE,Google Play,neutral,NEGATIVE,network errorrrrrr,['Account Access Issues']
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,negative,NEGATIVE,good app problem send money telebirr mpesa add use,['Other']
its good and simple to use,5,2025-05-02,CBE,Google Play,positive,POSITIVE,good simple use,['Other']
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,positive,NEGATIVE,wor app like bank security network access,['Account Access Issues']
it's the best app i,5,2025-05-02,CBE,Google Play,positive,POSITIVE,good app,['Other']
not bad not good,1,2025-05-02,CBE,Google Play,positive,NEGATIVE,bad good,['Other']
its very nice,5,2025-05-02,CBE,Google Play,positive,POSITIVE,nice,['Other']
do not work this week,3,2025-04-30,CBE,Google Play,neutral,NEGATIVE,work week,['Other']
It crashes frequently,4,2025-04-30,CBE,Google Play,neutral,NEGATIVE,crash frequently,['Other']
the best,5,2025-04-28,CBE,Google Play,positive,POSITIVE,good,['Other']
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,positive,POSITIVE,"simply describe app "" make work easy "" .",['User Interface & Experience']
goid,5,2025-04-28,CBE,Google Play,neutral,NEGATIVE,goid,['Other']
best appearance,5,2025-04-27,CBE,Google Play,positive,POSITIVE,good appearance,['Other']
it's very good 👍 app,5,2025-04-27,CBE,Google Play,positive,POSITIVE,good 👍 app,['Other']
I need support you,5,2025-04-27,CBE,Google Play,positive,NEGATIVE,need support,['Customer Support']
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,negative,NEGATIVE,bad Mobile banking see life,['Other']
super,5,2025-04-26,CBE,Google Play,positive,POSITIVE,super,['Other']
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,neutral,NEGATIVE,ጠጀጨገጀ።ጀገ,['Other']
i like the app,5,2025-04-26,CBE,Google Play,positive,POSITIVE,like app,['Other']
the Best,1,2025-04-26,CBE,Google Play,positive,POSITIVE,good,['Other']
to other bank is bad,1,2025-04-25,CBE,Google Play,negative,NEGATIVE,bank bad,['Other']
tank's,5,2025-04-25,CBE,Google Play,neutral,NEGATIVE,tank,['Other']
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,positive,POSITIVE,good add feature like . bank statement show,['Other']
it is so nice,5,2025-04-24,CBE,Google Play,positive,POSITIVE,nice,['Other']
Very Good👍,5,2025-04-21,CBE,Google Play,positive,POSITIVE,good 👍,['Other']
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,negative,NEGATIVE,"frequent experience cbe app critical - time failure suspend payment air 2 - 5 day zero explanation , deduct sender account deposit receiver act . fatal error bank company ( app ) force - banking corporation consent employer - user correspond corporation",['Account Access Issues']
"wow, amazing app",5,2025-04-21,CBE,Google Play,positive,POSITIVE,"wow , amazing app",['Other']
use ful,5,2025-04-21,CBE,Google Play,neutral,NEGATIVE,use ful,['Other']
Great app,5,2025-04-21,CBE,Google Play,positive,POSITIVE,great app,['Other']
well app,5,2025-04-20,CBE,Google Play,positive,POSITIVE,app,['Other']
Actually it is inactive,4,2025-04-19,CBE,Google Play,neutral,NEGATIVE,actually inactive,['Other']
"slow, only one account is used",2,2025-04-19,CBE,Google Play,neutral,NEGATIVE,"slow , account",['Transaction Performance']
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,neutral,POSITIVE,CBE lead Commercial Bank 💪 💪 💪,['Other']
i like it,5,2025-04-18,CBE,Google Play,positive,POSITIVE,like,['Other']
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,neutral,NEGATIVE,remove screenshot feature ?,['Other']
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,positive,POSITIVE,nice app network good connection,['Other']
Thank you!!!,5,2025-04-18,CBE,Google Play,positive,POSITIVE,thank ! ! !,['Other']
i can't take screenshot,1,2025-04-18,CBE,Google Play,neutral,NEGATIVE,screenshot,['Other']
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,positive,NEGATIVE,"update system well well March 19th , 2025 update , allow screenshot . guy understand quick significant thing . add extra step , make process draw",['Other']
perfectly special,5,2025-04-18,CBE,Google Play,positive,POSITIVE,perfectly special,['Other']
Fast and Reliable,5,2025-04-18,CBE,Google Play,neutral,POSITIVE,fast reliable,['Other']
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play,positive,POSITIVE,good application see Ethiopia banking industry .,['Other']
great app!!!,5,2025-04-17,CBE,Google Play,positive,POSITIVE,great app ! ! !,['Other']
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play,neutral,NEGATIVE,work load,['Other']
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,positive,POSITIVE,"absolutely good app ! work flawlessly , anytime .",['Other']
very nice app ever!!!,5,2025-04-16,CBE,Google Play,positive,POSITIVE,nice app ! ! !,['Other']
the best app,5,2025-04-16,CBE,Google Play,positive,POSITIVE,good app,['Other']
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,positive,NEGATIVE,biometric security mobile banking available,['Other']
great,5,2025-04-15,CBE,Google Play,positive,POSITIVE,great,['Other']
Nice service,5,2025-04-15,CBE,Google Play,positive,POSITIVE,nice service,['Customer Support']
great app,5,2025-04-15,CBE,Google Play,positive,POSITIVE,great app,['Other']
it's special apps,5,2025-04-15,CBE,Google Play,positive,POSITIVE,special app,['Other']
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,neutral,NEGATIVE,"update version app , take time download receipt .",['Other']
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play,neutral,NEGATIVE,ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,['Other']
Good 🔥,5,2025-04-14,CBE,Google Play,positive,POSITIVE,Good 🔥,['Other']
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,positive,POSITIVE,interesting app day fantastic,['Other']
lebaa bank,5,2025-04-14,CBE,Google Play,neutral,NEGATIVE,lebaa bank,['Other']
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,neutral,NEGATIVE,scan / recognize bank ' interoperable QR code,['Other']
OK,5,2025-04-13,CBE,Google Play,positive,POSITIVE,ok,['Other']
grateful app,5,2025-04-13,CBE,Google Play,positive,POSITIVE,grateful app,['Other']
