review,rating,date,bank,source,vader_sentiment,bert_sentiment,clean_review
Best,5,2025-05-26,CBE,Google Play,positive,POSITIVE,well
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,positive,POSITIVE,CBE good financial application dimple use . like thank developer application . appreciate app .
nice,5,2025-05-26,CBE,Google Play,positive,POSITIVE,nice
good job,5,2025-05-26,CBE,Google Play,positive,POSITIVE,good job
it's awesome!!,5,2025-05-25,CBE,Google Play,positive,POSITIVE,awesome ! !
thankyou every one,5,2025-05-25,CBE,Google Play,neutral,POSITIVE,thankyou
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,positive,POSITIVE,Ronaldo 🇵 🇹 🥇
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,positive,POSITIVE,"app absolutely fantastic love enjoy , let support foundation ."
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,negative,NEGATIVE,"CBE app highly unreliable recent week . frequently fail work properly Ethio Telecom Safaricom network , Wi - Fi mobile datum . week , system entirely extended period , make difficult access banking service . app function intermittently , lack consistency frustrating . hope issue address soon , non - technical influence remove essential service ."
mortuary app,5,2025-05-25,CBE,Google Play,neutral,NEGATIVE,mortuary app
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,positive,NEGATIVE,smart app stop period time device reason .
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,positive,POSITIVE,amazing app app year
👍,5,2025-05-24,CBE,Google Play,neutral,NEGATIVE,👍
good app,5,2025-05-24,CBE,Google Play,positive,POSITIVE,good app
i love it 😍😘,5,2025-05-24,CBE,Google Play,positive,POSITIVE,love 😍 😘
It makes life easy!👌,5,2025-05-24,CBE,Google Play,positive,POSITIVE,make life easy ! 👌
its not fast,1,2025-05-24,CBE,Google Play,neutral,NEGATIVE,fast
wow,4,2025-05-24,CBE,Google Play,positive,POSITIVE,wow
it is sooo good,5,2025-05-24,CBE,Google Play,positive,POSITIVE,sooo good
excellent,5,2025-05-24,CBE,Google Play,positive,POSITIVE,excellent
ok,1,2025-05-24,CBE,Google Play,positive,POSITIVE,ok
Fantastic,5,2025-05-23,CBE,Google Play,positive,POSITIVE,fantastic
accessible to using,5,2025-05-23,CBE,Google Play,neutral,POSITIVE,accessible
I like it,4,2025-05-23,CBE,Google Play,positive,POSITIVE,like
why you change default network?,5,2025-05-23,CBE,Google Play,neutral,NEGATIVE,change default network ?
very nice 👍,5,2025-05-23,CBE,Google Play,positive,POSITIVE,nice 👍
nice fast app,5,2025-05-23,CBE,Google Play,positive,POSITIVE,nice fast app
how to I get my money,5,2025-05-23,CBE,Google Play,neutral,NEGATIVE,money
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,negative,NEGATIVE,"bad , load need improve service ."
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,positive,POSITIVE,"good app , reliable . crash ."
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,neutral,NEGATIVE,busy know ... prefer 889
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,neutral,NEGATIVE,"nasty lag hour fix , rest 👌"
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,negative,NEGATIVE,boring Mobil banking application ethiopia . use alternative private bank mobile banking app
hojii bonsaadha,5,2025-05-22,CBE,Google Play,neutral,POSITIVE,hojii bonsaadha
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,positive,POSITIVE,user - friendly apps.because app easy .
Awosome!!!,5,2025-05-22,CBE,Google Play,neutral,POSITIVE,awosome ! ! !
"Very good app,",5,2025-05-22,CBE,Google Play,positive,POSITIVE,"good app ,"
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,positive,NEGATIVE,sync problem 22 2025 date stack 8 2025 help pls
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,positive,POSITIVE,ይህ መተግበሪያ በጣም ጥሩ ነው . app nice
I hate this app 😒,1,2025-05-22,CBE,Google Play,negative,NEGATIVE,hate app 😒
trustful,5,2025-05-22,CBE,Google Play,positive,POSITIVE,trustful
I like,5,2025-05-22,CBE,Google Play,positive,POSITIVE,like
update issue,4,2025-05-22,CBE,Google Play,neutral,POSITIVE,update issue
its not working over safari network,1,2025-05-22,CBE,Google Play,neutral,NEGATIVE,work safari network
oldie,1,2025-05-22,CBE,Google Play,neutral,NEGATIVE,oldie
it doesn't work,1,2025-05-21,CBE,Google Play,neutral,NEGATIVE,work
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,positive,POSITIVE,"app good ,"
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,positive,POSITIVE,nice 👌 app android phone
Yes Yes,5,2025-05-21,CBE,Google Play,positive,POSITIVE,yes yes
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,neutral,NEGATIVE,በጣም ከርፋፋ
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,positive,POSITIVE,easy use helpful life
good 👍,4,2025-05-21,CBE,Google Play,positive,POSITIVE,good 👍
the best mobile banking app,5,2025-05-21,CBE,Google Play,positive,POSITIVE,good mobile banking app
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,positive,POSITIVE,"app useful app , save time , secure"
it's a good application 👍,5,2025-05-21,CBE,Google Play,positive,POSITIVE,good application 👍
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,negative,NEGATIVE,screenshot reffresh option annoying make transaction delay activity !
poor service,1,2025-05-21,CBE,Google Play,negative,NEGATIVE,poor service
amazing,5,2025-05-20,CBE,Google Play,positive,POSITIVE,amazing
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,positive,POSITIVE,reliable easy use .
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,negative,NEGATIVE,annoying mobile banking app see
Cbe mobile banking,5,2025-05-20,CBE,Google Play,neutral,POSITIVE,Cbe mobile banking
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,positive,NEGATIVE,"Screenshout app , modification"
Best app I loved it,5,2025-05-19,CBE,Google Play,positive,POSITIVE,good app love
nice app,5,2025-05-19,CBE,Google Play,positive,POSITIVE,nice app
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,positive,NEGATIVE,amazing applicatiom not work !
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,positive,POSITIVE,satisfied beautiful app
very good,4,2025-05-17,CBE,Google Play,positive,POSITIVE,good
best app.,5,2025-05-17,CBE,Google Play,positive,POSITIVE,good app .
"not working,why???",5,2025-05-17,CBE,Google Play,neutral,NEGATIVE,"work , ? ? ?"
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,positive,NEGATIVE,great impact developer option turnoff fix 🙏 🙏 🙏
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,negative,NEGATIVE,disappointing ! especially ios ! ! similar local application extremely superior application ! ! disappointing !
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,neutral,NEGATIVE,woxe harimo ribiso
"Good ,easy to use",5,2025-05-16,CBE,Google Play,positive,POSITIVE,"good , easy use"
Good app,5,2025-05-15,CBE,Google Play,positive,POSITIVE,good app
Good job👍,5,2025-05-14,CBE,Google Play,positive,POSITIVE,good job 👍
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,positive,POSITIVE,"kindly ask update app allow screenshot , convenient efficient long add security access reason block screenshoote screen ."
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,positive,NEGATIVE,CBE mobile banking app . overall appreciate feutere i.ve nottice turn Developer option divice App . stop function prorerly . great look issue l need access developer setting Otter Application ThankYou attention Matter
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,negative,NEGATIVE,customer service bad good bank
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,positive,NEGATIVE,Amazing Mobile Banking App .... screenshot receipt not work
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,positive,POSITIVE,fast simple easy use 👌
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,neutral,POSITIVE,fast transferring app reliable
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,neutral,NEGATIVE,"fund transfer bank reflect account , confirmation text message receive ."
it's easy and fast,5,2025-05-10,CBE,Google Play,positive,POSITIVE,easy fast
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,negative,NEGATIVE,app self activation look near cbe branch disgusting
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,positive,POSITIVE,hello dear CBE office personnel benefit interest free account thank help
wow best application ever,5,2025-05-09,CBE,Google Play,positive,POSITIVE,wow good application
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,negative,NEGATIVE,"sorry developer mode application ? hack ? sure developer stupid , not make sense ,"
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,positive,POSITIVE,pride ethiopian bank 🏦
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,positive,NEGATIVE,app tell turn developer option fix .
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,positive,POSITIVE,happy . small prob . transfer not transfer cashe bil dic .
amazing apps,5,2025-05-06,CBE,Google Play,positive,POSITIVE,amazing app
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,neutral,POSITIVE,service Mobile Banking
needs improvement,1,2025-05-06,CBE,Google Play,positive,NEGATIVE,need improvement
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,negative,NEGATIVE,miss old send mony bank ..
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,positive,NEGATIVE,app recently crush time open try transfer ... good . lesson Dashen Super app ethiotelecom . befit experience glory . inv3st make friendly convenient . consider leave CBE good .
good but these week not oky,4,2025-05-06,CBE,Google Play,positive,NEGATIVE,good week oky
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,positive,POSITIVE,design ! fix bug & step verification biometric ... simply great !
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,positive,NEGATIVE,developer read fix screenshot functionality download button work flawlessly touch time .
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,positive,POSITIVE,"great job.but thing , place transfer bank face like mobile charge card place"
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,neutral,POSITIVE,CBE mobilr bankg
verygood,3,2025-05-05,CBE,Google Play,neutral,POSITIVE,verygood
ممتاز جدا,5,2025-05-04,CBE,Google Play,neutral,NEGATIVE,ممتاز جدا
it's very low quality application,1,2025-05-04,CBE,Google Play,negative,NEGATIVE,low quality application
Very Amazing Apps,5,2025-05-04,CBE,Google Play,positive,POSITIVE,Amazing Apps
አዛ,1,2025-05-04,CBE,Google Play,neutral,NEGATIVE,አዛ
wow simple life,5,2025-05-04,CBE,Google Play,positive,POSITIVE,wow simple life
it's nice,5,2025-05-03,CBE,Google Play,positive,POSITIVE,nice
Why stacked sometimes,5,2025-05-03,CBE,Google Play,neutral,NEGATIVE,stack
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,positive,NEGATIVE,okay 👍 busy
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,negative,NEGATIVE,bad commercial company fail normal thing .
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,negative,NEGATIVE,good app . disappoint general cessation system .
Good and fast,5,2025-05-02,CBE,Google Play,positive,POSITIVE,good fast
Unreliable!,1,2025-05-02,CBE,Google Play,neutral,NEGATIVE,unreliable !
Best the best fast,5,2025-05-02,CBE,Google Play,positive,POSITIVE,well good fast
happy,5,2025-05-02,CBE,Google Play,positive,POSITIVE,happy
fast and reliable,5,2025-05-02,CBE,Google Play,neutral,POSITIVE,fast reliable
network errorrrrrr,2,2025-05-02,CBE,Google Play,neutral,NEGATIVE,network errorrrrrr
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,negative,NEGATIVE,good app problem send money telebirr mpesa add use
its good and simple to use,5,2025-05-02,CBE,Google Play,positive,POSITIVE,good simple use
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,positive,NEGATIVE,wor app like bank security network access
it's the best app i,5,2025-05-02,CBE,Google Play,positive,POSITIVE,good app
not bad not good,1,2025-05-02,CBE,Google Play,positive,NEGATIVE,bad good
its very nice,5,2025-05-02,CBE,Google Play,positive,POSITIVE,nice
do not work this week,3,2025-04-30,CBE,Google Play,neutral,NEGATIVE,work week
It crashes frequently,4,2025-04-30,CBE,Google Play,neutral,NEGATIVE,crash frequently
the best,5,2025-04-28,CBE,Google Play,positive,POSITIVE,good
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,positive,POSITIVE,"simply describe app "" make work easy "" ."
goid,5,2025-04-28,CBE,Google Play,neutral,NEGATIVE,goid
best appearance,5,2025-04-27,CBE,Google Play,positive,POSITIVE,good appearance
it's very good 👍 app,5,2025-04-27,CBE,Google Play,positive,POSITIVE,good 👍 app
I need support you,5,2025-04-27,CBE,Google Play,positive,NEGATIVE,need support
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,negative,NEGATIVE,bad Mobile banking see life
super,5,2025-04-26,CBE,Google Play,positive,POSITIVE,super
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,neutral,NEGATIVE,ጠጀጨገጀ።ጀገ
i like the app,5,2025-04-26,CBE,Google Play,positive,POSITIVE,like app
the Best,1,2025-04-26,CBE,Google Play,positive,POSITIVE,good
to other bank is bad,1,2025-04-25,CBE,Google Play,negative,NEGATIVE,bank bad
tank's,5,2025-04-25,CBE,Google Play,neutral,NEGATIVE,tank
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,positive,POSITIVE,good add feature like . bank statement show
it is so nice,5,2025-04-24,CBE,Google Play,positive,POSITIVE,nice
Very Good👍,5,2025-04-21,CBE,Google Play,positive,POSITIVE,good 👍
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,negative,NEGATIVE,"frequent experience cbe app critical - time failure suspend payment air 2 - 5 day zero explanation , deduct sender account deposit receiver act . fatal error bank company ( app ) force - banking corporation consent employer - user correspond corporation"
"wow, amazing app",5,2025-04-21,CBE,Google Play,positive,POSITIVE,"wow , amazing app"
use ful,5,2025-04-21,CBE,Google Play,neutral,NEGATIVE,use ful
Great app,5,2025-04-21,CBE,Google Play,positive,POSITIVE,great app
well app,5,2025-04-20,CBE,Google Play,positive,POSITIVE,app
Actually it is inactive,4,2025-04-19,CBE,Google Play,neutral,NEGATIVE,actually inactive
"slow, only one account is used",2,2025-04-19,CBE,Google Play,neutral,NEGATIVE,"slow , account"
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,neutral,POSITIVE,CBE lead Commercial Bank 💪 💪 💪
i like it,5,2025-04-18,CBE,Google Play,positive,POSITIVE,like
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,neutral,NEGATIVE,remove screenshot feature ?
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,positive,POSITIVE,nice app network good connection
Thank you!!!,5,2025-04-18,CBE,Google Play,positive,POSITIVE,thank ! ! !
i can't take screenshot,1,2025-04-18,CBE,Google Play,neutral,NEGATIVE,screenshot
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,positive,NEGATIVE,"update system well well March 19th , 2025 update , allow screenshot . guy understand quick significant thing . add extra step , make process draw"
perfectly special,5,2025-04-18,CBE,Google Play,positive,POSITIVE,perfectly special
Fast and Reliable,5,2025-04-18,CBE,Google Play,neutral,POSITIVE,fast reliable
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play,positive,POSITIVE,good application see Ethiopia banking industry .
great app!!!,5,2025-04-17,CBE,Google Play,positive,POSITIVE,great app ! ! !
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play,neutral,NEGATIVE,work load
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,positive,POSITIVE,"absolutely good app ! work flawlessly , anytime ."
very nice app ever!!!,5,2025-04-16,CBE,Google Play,positive,POSITIVE,nice app ! ! !
the best app,5,2025-04-16,CBE,Google Play,positive,POSITIVE,good app
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,positive,NEGATIVE,biometric security mobile banking available
great,5,2025-04-15,CBE,Google Play,positive,POSITIVE,great
Nice service,5,2025-04-15,CBE,Google Play,positive,POSITIVE,nice service
great app,5,2025-04-15,CBE,Google Play,positive,POSITIVE,great app
it's special apps,5,2025-04-15,CBE,Google Play,positive,POSITIVE,special app
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,neutral,NEGATIVE,"update version app , take time download receipt ."
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play,neutral,NEGATIVE,ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?
Good 🔥,5,2025-04-14,CBE,Google Play,positive,POSITIVE,Good 🔥
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,positive,POSITIVE,interesting app day fantastic
lebaa bank,5,2025-04-14,CBE,Google Play,neutral,NEGATIVE,lebaa bank
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,neutral,NEGATIVE,scan / recognize bank ' interoperable QR code
OK,5,2025-04-13,CBE,Google Play,positive,POSITIVE,ok
grateful app,5,2025-04-13,CBE,Google Play,positive,POSITIVE,grateful app
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE,Google Play,neutral,POSITIVE,100 % ❤ ️ ❤ ️ ❤ ️ 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏 🙏
everthing wellbeok,3,2025-04-13,CBE,Google Play,neutral,NEGATIVE,everthe wellbeok
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,CBE,Google Play,positive,NEGATIVE,""" mobile banking app fast user - friendly , issue encounter access bank statement app . kindly request feature add , similar offer private bank mobile banking app ."
nice app 👌,5,2025-04-12,CBE,Google Play,positive,POSITIVE,nice app 👌
why did this app is not screenshot,5,2025-04-12,CBE,Google Play,neutral,NEGATIVE,app screenshot
it so good app,5,2025-04-12,CBE,Google Play,positive,POSITIVE,good app
جميل,5,2025-04-11,CBE,Google Play,neutral,POSITIVE,جميل
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,neutral,NEGATIVE,"network , specially fee utility purpose"
simply for used,4,2025-04-11,CBE,Google Play,neutral,NEGATIVE,simply
wow keep up,5,2025-04-10,CBE,Google Play,positive,POSITIVE,wow
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play,positive,NEGATIVE,great app update screen shot try fix
good one,5,2025-04-10,CBE,Google Play,positive,POSITIVE,good
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play,positive,POSITIVE,easy thank cebe
ፈጣን ቀልጣፋ,5,2025-04-10,CBE,Google Play,neutral,NEGATIVE,ፈጣን ቀልጣፋ
ጎበዝ,5,2025-04-09,CBE,Google Play,neutral,NEGATIVE,ጎበዝ
but this app says can't sync,5,2025-04-09,CBE,Google Play,neutral,NEGATIVE,app say sync
waw,5,2025-04-09,CBE,Google Play,neutral,NEGATIVE,waw
to slow,3,2025-04-09,CBE,Google Play,neutral,NEGATIVE,slow
work on screen shot system,4,2025-04-08,CBE,Google Play,neutral,NEGATIVE,work screen shot system
very very nice aplication,1,2025-04-08,CBE,Google Play,positive,POSITIVE,nice aplication
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play,positive,POSITIVE,wonder easy use
easy and reliable,2,2025-04-08,CBE,Google Play,positive,POSITIVE,easy reliable
it is Very Useful app 👍,5,2025-04-07,CBE,Google Play,positive,POSITIVE,useful app 👍
perfect app,5,2025-04-07,CBE,Google Play,positive,POSITIVE,perfect app
I like it.,5,2025-04-07,CBE,Google Play,positive,POSITIVE,like .
bugs,3,2025-04-07,CBE,Google Play,neutral,NEGATIVE,bug
