review,rating,date,bank,source,vader_sentiment,bert_sentiment
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,BOA,Google Play,positive,NEGATIVE
there is no speed,1,2025-03-19,BOA,Google Play,negative,NEGATIVE
"For anyone who wants to download it, just don't!!!",1,2025-03-19,BOA,Google Play,neutral,NEGATIVE
wonderful,5,2025-03-19,BOA,Google Play,positive,POSITIVE
all worck,5,2025-03-19,BOA,Google Play,neutral,NEGATIVE
Loved it,5,2025-03-14,BOA,Google Play,positive,POSITIVE
Wow,1,2025-03-14,BOA,Google Play,positive,POSITIVE
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,BOA,Google Play,positive,NEGATIVE
Improved to be the best,5,2025-03-11,BOA,Google Play,positive,POSITIVE
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,BOA,Google Play,negative,NEGATIVE
BoA Greqt Ethiopian bank.,5,2025-03-11,BOA,Google Play,neutral,NEGATIVE
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,BOA,Google Play,positive,NEGATIVE
Almost better compared to cbe where it is not qualified for,4,2025-03-09,BOA,Google Play,positive,NEGATIVE
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,BOA,Google Play,positive,POSITIVE
Wonderfull app,5,2025-03-08,BOA,Google Play,neutral,POSITIVE
i can't use this app why?,5,2025-03-07,BOA,Google Play,neutral,NEGATIVE
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,BOA,Google Play,positive,NEGATIVE
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,BOA,Google Play,negative,NEGATIVE
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,BOA,Google Play,negative,NEGATIVE
Good app,5,2025-03-03,BOA,Google Play,positive,POSITIVE
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,BOA,Google Play,neutral,NEGATIVE
It has good features but sometimes it doesn't work...0,1,2025-03-02,BOA,Google Play,positive,NEGATIVE
Very poor proformance,1,2025-03-01,BOA,Google Play,negative,NEGATIVE
It's not opening. Really frustrating,1,2025-03-01,BOA,Google Play,positive,NEGATIVE
Verry Amazing App from all IB,5,2025-03-01,BOA,Google Play,positive,POSITIVE
Not working on this days,1,2025-02-26,BOA,Google Play,neutral,NEGATIVE
Thank you BoA,5,2025-02-23,BOA,Google Play,positive,POSITIVE
best banking app in the wworld,5,2025-02-22,BOA,Google Play,positive,POSITIVE
Nice app and it's easy to use,5,2025-02-21,BOA,Google Play,positive,POSITIVE
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,BOA,Google Play,positive,NEGATIVE
This is help full i like ittttt,5,2025-02-14,BOA,Google Play,positive,POSITIVE
The is not functional at all?,2,2025-02-12,BOA,Google Play,neutral,NEGATIVE
Best bank,5,2025-02-08,BOA,Google Play,positive,POSITIVE
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,BOA,Google Play,positive,POSITIVE
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,BOA,Google Play,neutral,NEGATIVE
I have been using this app for two years.It is amazing.,5,2025-02-01,BOA,Google Play,positive,POSITIVE
Good 👍,5,2025-01-31,BOA,Google Play,positive,POSITIVE
Sad experience,1,2025-01-30,BOA,Google Play,negative,NEGATIVE
Always do update and that is annoying,3,2025-01-27,BOA,Google Play,negative,NEGATIVE
"Best app, somehow waiting a few minutes",5,2025-01-23,BOA,Google Play,positive,NEGATIVE
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,BOA,Google Play,neutral,NEGATIVE
Whenever I try to sign in app close please fixed it out,2,2025-01-21,BOA,Google Play,positive,NEGATIVE
Beter,5,2025-01-21,BOA,Google Play,neutral,POSITIVE
Boa,4,2025-01-18,BOA,Google Play,neutral,NEGATIVE
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,BOA,Google Play,neutral,NEGATIVE
Aadan Axmed Barkhadle,5,2025-01-17,BOA,Google Play,neutral,POSITIVE
😡😡😡🤬🤬🤬,1,2025-01-16,BOA,Google Play,neutral,NEGATIVE
Horrible customer service and app crashes Horrible!!,1,2025-01-15,BOA,Google Play,negative,NEGATIVE
I love it,5,2025-01-14,BOA,Google Play,positive,POSITIVE
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,BOA,Google Play,neutral,NEGATIVE
Good🙏,5,2025-01-12,BOA,Google Play,positive,NEGATIVE
Like to much,5,2025-01-11,BOA,Google Play,positive,POSITIVE
Thank you,5,2025-01-10,BOA,Google Play,positive,POSITIVE
Perfect,5,2025-01-09,BOA,Google Play,positive,POSITIVE
The best of best,5,2025-01-09,BOA,Google Play,positive,POSITIVE
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,BOA,Google Play,positive,NEGATIVE
Great 👍,5,2025-01-04,BOA,Google Play,positive,POSITIVE
Fast and suitable for the customers.,5,2025-01-04,BOA,Google Play,neutral,POSITIVE
Good app and helpful,5,2025-01-03,BOA,Google Play,positive,POSITIVE
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,BOA,Google Play,negative,NEGATIVE
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,BOA,Google Play,negative,NEGATIVE
It doesn't work at all.,2,2025-01-02,BOA,Google Play,neutral,NEGATIVE
this app is not available,1,2025-01-02,BOA,Google Play,neutral,NEGATIVE
Wow what amazing,5,2024-12-30,BOA,Google Play,positive,POSITIVE
love it,5,2024-12-30,BOA,Google Play,positive,POSITIVE
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,BOA,Google Play,neutral,NEGATIVE
Lemn embi yilal??,5,2024-12-30,BOA,Google Play,neutral,NEGATIVE
Good,5,2024-12-30,BOA,Google Play,positive,POSITIVE
It's useless app downgraded.,1,2024-12-29,BOA,Google Play,negative,NEGATIVE
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,BOA,Google Play,neutral,NEGATIVE
Nice,5,2024-12-26,BOA,Google Play,positive,POSITIVE
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,BOA,Google Play,negative,NEGATIVE
አይሰራም ሼም ነው፤,1,2024-12-23,BOA,Google Play,neutral,NEGATIVE
Not that much bad,3,2024-12-22,BOA,Google Play,positive,POSITIVE
Fine,5,2024-12-21,BOA,Google Play,positive,POSITIVE
The dirtiest application ever seen...,1,2024-12-20,BOA,Google Play,negative,NEGATIVE
Nic ap,5,2024-12-19,BOA,Google Play,neutral,POSITIVE
The forest app ever,1,2024-12-19,BOA,Google Play,neutral,POSITIVE
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,BOA,Google Play,positive,NEGATIVE
Bank of abissena,1,2024-12-17,BOA,Google Play,neutral,POSITIVE
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,BOA,Google Play,positive,NEGATIVE
GOOD,5,2024-12-15,BOA,Google Play,positive,POSITIVE
The worst banking app ever. Never works!,1,2024-12-14,BOA,Google Play,negative,NEGATIVE
Poorly functioning app,3,2024-12-13,BOA,Google Play,neutral,NEGATIVE
Very nice,5,2024-12-13,BOA,Google Play,positive,POSITIVE
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,BOA,Google Play,negative,NEGATIVE
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,BOA,Google Play,negative,NEGATIVE
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,BOA,Google Play,positive,POSITIVE
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,BOA,Google Play,negative,NEGATIVE
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,BOA,Google Play,negative,NEGATIVE
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,BOA,Google Play,neutral,NEGATIVE
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,BOA,Google Play,positive,NEGATIVE
My attention is very important because it will be the most difficult time for me,5,2024-11-30,BOA,Google Play,negative,POSITIVE
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,BOA,Google Play,negative,NEGATIVE
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,BOA,Google Play,positive,POSITIVE
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,BOA,Google Play,negative,NEGATIVE
exellent digital transaction of money,5,2024-11-27,BOA,Google Play,neutral,NEGATIVE
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,BOA,Google Play,negative,NEGATIVE
Great,5,2024-11-25,BOA,Google Play,positive,POSITIVE
👏👏👏,5,2024-11-24,BOA,Google Play,neutral,NEGATIVE
Money,5,2024-11-24,BOA,Google Play,neutral,POSITIVE
It needs more improvment,2,2024-11-24,BOA,Google Play,neutral,NEGATIVE
Hey Google,5,2024-11-21,BOA,Google Play,neutral,POSITIVE
ab,3,2024-11-20,BOA,Google Play,neutral,POSITIVE
Ademtahir,5,2024-11-20,BOA,Google Play,neutral,POSITIVE
✌️✌️,5,2024-11-20,BOA,Google Play,neutral,NEGATIVE
Please this app on my android phone,3,2024-11-20,BOA,Google Play,positive,POSITIVE
GOAT 🐐 🐐,5,2024-11-19,BOA,Google Play,neutral,NEGATIVE
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,BOA,Google Play,positive,NEGATIVE
Fast and reliable,5,2024-11-18,BOA,Google Play,neutral,POSITIVE
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,BOA,Google Play,negative,NEGATIVE
Very good,5,2024-11-14,BOA,Google Play,positive,POSITIVE
One of the poorest mobile banking system,1,2024-11-13,BOA,Google Play,negative,NEGATIVE
❤❤❤❤❤❤,5,2024-11-12,BOA,Google Play,positive,NEGATIVE
Oene,5,2024-11-12,BOA,Google Play,neutral,POSITIVE
i find it interesting specially in reciept downloading,1,2024-11-12,BOA,Google Play,positive,POSITIVE
it good,5,2024-11-12,BOA,Google Play,positive,POSITIVE
"This app crashes everytime, please fix it",1,2024-11-12,BOA,Google Play,positive,NEGATIVE
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,BOA,Google Play,neutral,NEGATIVE
I need a support the app is not working,5,2024-11-12,BOA,Google Play,positive,NEGATIVE
Bast bank of ethiopia,5,2024-11-12,BOA,Google Play,neutral,POSITIVE
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12,BOA,Google Play,neutral,NEGATIVE
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,BOA,Google Play,positive,POSITIVE
The worst App i have never seen like this before,1,2024-11-12,BOA,Google Play,negative,NEGATIVE
Wweeeer,4,2024-11-12,BOA,Google Play,neutral,NEGATIVE
Infinx,5,2024-11-12,BOA,Google Play,neutral,NEGATIVE
Great service,5,2024-11-12,BOA,Google Play,positive,POSITIVE
👍,5,2024-11-11,BOA,Google Play,neutral,NEGATIVE
This app is not available on all android versions and some times it is not functional.,1,2024-11-08,BOA,Google Play,neutral,NEGATIVE
senayt Mesfin,4,2024-11-08,BOA,Google Play,neutral,POSITIVE
Bad app vety bad.,1,2024-11-07,BOA,Google Play,negative,NEGATIVE
Abessnya Banke,5,2024-11-05,BOA,Google Play,neutral,NEGATIVE
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,BOA,Google Play,negative,NEGATIVE
Okay,5,2024-11-03,BOA,Google Play,positive,POSITIVE
Professional on banking app,5,2024-11-01,BOA,Google Play,neutral,POSITIVE
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27,BOA,Google Play,positive,NEGATIVE
አይሰራም አስተካክሉት,5,2024-10-26,BOA,Google Play,neutral,NEGATIVE
Please try another because this app doesn't feet the need of this generation,1,2024-10-25,BOA,Google Play,positive,NEGATIVE
Fast transfer,5,2024-10-24,BOA,Google Play,neutral,POSITIVE
"What's up I can't log in, what's wrong",5,2024-10-22,BOA,Google Play,negative,NEGATIVE
Amrumehamed,1,2024-10-21,BOA,Google Play,neutral,POSITIVE
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,BOA,Google Play,positive,POSITIVE
ደደገነሐ,5,2024-10-15,BOA,Google Play,neutral,NEGATIVE
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-14,BOA,Google Play,negative,NEGATIVE
A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,BOA,Google Play,negative,NEGATIVE
Good App,4,2024-10-12,BOA,Google Play,positive,POSITIVE
Best app to me,5,2024-10-11,BOA,Google Play,positive,POSITIVE
BOA,5,2024-10-11,BOA,Google Play,neutral,NEGATIVE
Abdulkadir,5,2024-10-11,BOA,Google Play,neutral,POSITIVE
Bad,1,2024-10-10,BOA,Google Play,negative,NEGATIVE
If it is possible I would gove0 star,1,2024-10-08,BOA,Google Play,neutral,NEGATIVE
Nise mobile bankig,4,2024-10-05,BOA,Google Play,neutral,NEGATIVE
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04,BOA,Google Play,positive,NEGATIVE
Ok,5,2024-10-04,BOA,Google Play,positive,POSITIVE
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04,BOA,Google Play,positive,NEGATIVE
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,BOA,Google Play,neutral,NEGATIVE
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-04,BOA,Google Play,negative,NEGATIVE
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,1,2024-10-04,BOA,Google Play,positive,NEGATIVE
Worest app,1,2024-10-03,BOA,Google Play,neutral,NEGATIVE
The worest app ever,1,2024-10-03,BOA,Google Play,neutral,POSITIVE
አሪፍ ነው በርቱልን,5,2024-10-03,BOA,Google Play,neutral,NEGATIVE
Wwwerrr,5,2024-10-02,BOA,Google Play,neutral,NEGATIVE
ጀማል ውቀቱ,5,2024-09-30,BOA,Google Play,neutral,NEGATIVE
Great For Financial company,5,2024-09-30,BOA,Google Play,positive,POSITIVE
Very easy to use,5,2024-09-30,BOA,Google Play,positive,POSITIVE
The App's crash always.. Error.....,3,2024-09-27,BOA,Google Play,negative,NEGATIVE
This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,1,2024-09-26,BOA,Google Play,negative,NEGATIVE
Great UI and seamless UX. I love it!!,5,2024-09-25,BOA,Google Play,positive,POSITIVE
That's too good application but try to add more alternatives and futures or possibilitys for your customers,3,2024-09-25,BOA,Google Play,positive,NEGATIVE
It's easy used to operate program and secured 👍👍,4,2024-09-25,BOA,Google Play,positive,NEGATIVE
I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,1,2024-09-21,BOA,Google Play,neutral,NEGATIVE
Amazing,5,2024-09-19,BOA,Google Play,positive,POSITIVE
Great app with great services,5,2024-09-19,BOA,Google Play,positive,POSITIVE
Yes active user,5,2024-09-17,BOA,Google Play,positive,POSITIVE
Shameful,1,2024-09-17,BOA,Google Play,negative,NEGATIVE
The worest app ever made i would not recommende for no one,1,2024-09-16,BOA,Google Play,positive,NEGATIVE
Good application,5,2024-09-16,BOA,Google Play,positive,POSITIVE
I like,5,2024-09-16,BOA,Google Play,positive,POSITIVE
"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",1,2024-09-15,BOA,Google Play,neutral,NEGATIVE
"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",1,2024-09-15,BOA,Google Play,positive,NEGATIVE
የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),5,2024-09-14,BOA,Google Play,neutral,NEGATIVE
It's not working. It needs a big update. Can't you update the app quickly?,1,2024-09-14,BOA,Google Play,neutral,NEGATIVE
"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",3,2024-09-14,BOA,Google Play,positive,NEGATIVE
"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",1,2024-09-13,BOA,Google Play,negative,NEGATIVE
Bes and freindly app,5,2024-09-13,BOA,Google Play,neutral,NEGATIVE
It doesn't work.,1,2024-09-12,BOA,Google Play,neutral,NEGATIVE
"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",1,2024-09-11,BOA,Google Play,negative,NEGATIVE
How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,1,2024-09-11,BOA,Google Play,negative,NEGATIVE
Smart technology,5,2024-09-10,BOA,Google Play,positive,POSITIVE
Yegema app tish🪨,1,2024-09-08,BOA,Google Play,neutral,NEGATIVE
"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",1,2024-09-07,BOA,Google Play,negative,NEGATIVE
"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",1,2024-09-06,BOA,Google Play,negative,NEGATIVE
"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",1,2024-09-06,BOA,Google Play,positive,NEGATIVE
Awesome application. But lately its crashing everytime i opened it.,4,2024-09-05,BOA,Google Play,positive,NEGATIVE
እጅም በጣም ደካማ አፕ ነው ሲፈልግ ይከፍታል ሲፈልግ አይከፍትም ከአዋሽ እና ንግድ ባንክ የመሳሰሉ ባንኮች ሲወዳደር ሞባይል ባንኪንግ App እጅግ የሚያበሳጭ ነው ለውጥ ያስፈልጋችኋል,1,2024-09-05,BOA,Google Play,neutral,NEGATIVE
Fast one,3,2024-09-04,BOA,Google Play,neutral,POSITIVE
Nice looking app but a terrible user experience.,1,2024-09-03,BOA,Google Play,negative,NEGATIVE
The worest MB app ever!!🙄,1,2024-09-02,BOA,Google Play,neutral,NEGATIVE
It is ok,5,2024-09-01,BOA,Google Play,positive,POSITIVE
Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,1,2024-08-30,BOA,Google Play,positive,NEGATIVE
Apollo's,1,2024-08-29,BOA,Google Play,neutral,POSITIVE
The worst experience ever,1,2024-08-29,BOA,Google Play,negative,NEGATIVE
