review,rating,date,bank,source,vader_sentiment,bert_sentiment
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,positive,NEGATIVE
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,positive,POSITIVE
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,neutral,POSITIVE
verygood,3,2025-05-05,CBE,Google Play,neutral,POSITIVE
ممتاز جدا,5,2025-05-04,CBE,Google Play,neutral,NEGATIVE
it's very low quality application,1,2025-05-04,CBE,Google Play,negative,NEGATIVE
Very Amazing Apps,5,2025-05-04,CBE,Google Play,positive,POSITIVE
አዛ,1,2025-05-04,CBE,Google Play,neutral,NEGATIVE
wow simple life,5,2025-05-04,CBE,Google Play,positive,POSITIVE
it's nice,5,2025-05-03,CBE,Google Play,positive,POSITIVE
Why stacked sometimes,5,2025-05-03,CBE,Google Play,neutral,NEGATIVE
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,positive,NEGATIVE
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,negative,NEGATIVE
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,negative,NEGATIVE
Good and fast,5,2025-05-02,CBE,Google Play,positive,POSITIVE
Unreliable!,1,2025-05-02,CBE,Google Play,neutral,NEGATIVE
Best the best fast,5,2025-05-02,CBE,Google Play,positive,POSITIVE
happy,5,2025-05-02,CBE,Google Play,positive,POSITIVE
fast and reliable,5,2025-05-02,CBE,Google Play,neutral,POSITIVE
network errorrrrrr,2,2025-05-02,CBE,Google Play,neutral,NEGATIVE
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,negative,NEGATIVE
its good and simple to use,5,2025-05-02,CBE,Google Play,positive,POSITIVE
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,positive,NEGATIVE
it's the best app i,5,2025-05-02,CBE,Google Play,positive,POSITIVE
not bad not good,1,2025-05-02,CBE,Google Play,positive,NEGATIVE
its very nice,5,2025-05-02,CBE,Google Play,positive,POSITIVE
do not work this week,3,2025-04-30,CBE,Google Play,neutral,NEGATIVE
It crashes frequently,4,2025-04-30,CBE,Google Play,neutral,NEGATIVE
the best,5,2025-04-28,CBE,Google Play,positive,POSITIVE
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,positive,POSITIVE
goid,5,2025-04-28,CBE,Google Play,neutral,NEGATIVE
best appearance,5,2025-04-27,CBE,Google Play,positive,POSITIVE
it's very good 👍 app,5,2025-04-27,CBE,Google Play,positive,POSITIVE
I need support you,5,2025-04-27,CBE,Google Play,positive,NEGATIVE
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,negative,NEGATIVE
super,5,2025-04-26,CBE,Google Play,positive,POSITIVE
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,neutral,NEGATIVE
i like the app,5,2025-04-26,CBE,Google Play,positive,POSITIVE
the Best,1,2025-04-26,CBE,Google Play,positive,POSITIVE
to other bank is bad,1,2025-04-25,CBE,Google Play,negative,NEGATIVE
tank's,5,2025-04-25,CBE,Google Play,neutral,NEGATIVE
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,positive,POSITIVE
it is so nice,5,2025-04-24,CBE,Google Play,positive,POSITIVE
Very Good👍,5,2025-04-21,CBE,Google Play,positive,POSITIVE
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,negative,NEGATIVE
"wow, amazing app",5,2025-04-21,CBE,Google Play,positive,POSITIVE
use ful,5,2025-04-21,CBE,Google Play,neutral,NEGATIVE
Great app,5,2025-04-21,CBE,Google Play,positive,POSITIVE
well app,5,2025-04-20,CBE,Google Play,positive,POSITIVE
Actually it is inactive,4,2025-04-19,CBE,Google Play,neutral,NEGATIVE
"slow, only one account is used",2,2025-04-19,CBE,Google Play,neutral,NEGATIVE
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,neutral,POSITIVE
i like it,5,2025-04-18,CBE,Google Play,positive,POSITIVE
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,neutral,NEGATIVE
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,positive,POSITIVE
Thank you!!!,5,2025-04-18,CBE,Google Play,positive,POSITIVE
i can't take screenshot,1,2025-04-18,CBE,Google Play,neutral,NEGATIVE
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,positive,NEGATIVE
perfectly special,5,2025-04-18,CBE,Google Play,positive,POSITIVE
Fast and Reliable,5,2025-04-18,CBE,Google Play,neutral,POSITIVE
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play,positive,POSITIVE
great app!!!,5,2025-04-17,CBE,Google Play,positive,POSITIVE
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play,neutral,NEGATIVE
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,positive,POSITIVE
very nice app ever!!!,5,2025-04-16,CBE,Google Play,positive,POSITIVE
the best app,5,2025-04-16,CBE,Google Play,positive,POSITIVE
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,positive,NEGATIVE
great,5,2025-04-15,CBE,Google Play,positive,POSITIVE
Nice service,5,2025-04-15,CBE,Google Play,positive,POSITIVE
great app,5,2025-04-15,CBE,Google Play,positive,POSITIVE
it's special apps,5,2025-04-15,CBE,Google Play,positive,POSITIVE
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,neutral,NEGATIVE
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play,neutral,NEGATIVE
Good 🔥,5,2025-04-14,CBE,Google Play,positive,POSITIVE
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,positive,POSITIVE
lebaa bank,5,2025-04-14,CBE,Google Play,neutral,NEGATIVE
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,neutral,NEGATIVE
OK,5,2025-04-13,CBE,Google Play,positive,POSITIVE
grateful app,5,2025-04-13,CBE,Google Play,positive,POSITIVE
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE,Google Play,neutral,POSITIVE
everthing wellbeok,3,2025-04-13,CBE,Google Play,neutral,NEGATIVE
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,CBE,Google Play,positive,NEGATIVE
nice app 👌,5,2025-04-12,CBE,Google Play,positive,POSITIVE
why did this app is not screenshot,5,2025-04-12,CBE,Google Play,neutral,NEGATIVE
it so good app,5,2025-04-12,CBE,Google Play,positive,POSITIVE
جميل,5,2025-04-11,CBE,Google Play,neutral,POSITIVE
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,neutral,NEGATIVE
simply for used,4,2025-04-11,CBE,Google Play,neutral,NEGATIVE
wow keep up,5,2025-04-10,CBE,Google Play,positive,POSITIVE
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play,positive,NEGATIVE
good one,5,2025-04-10,CBE,Google Play,positive,POSITIVE
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play,positive,POSITIVE
ፈጣን ቀልጣፋ,5,2025-04-10,CBE,Google Play,neutral,NEGATIVE
ጎበዝ,5,2025-04-09,CBE,Google Play,neutral,NEGATIVE
but this app says can't sync,5,2025-04-09,CBE,Google Play,neutral,NEGATIVE
waw,5,2025-04-09,CBE,Google Play,neutral,NEGATIVE
to slow,3,2025-04-09,CBE,Google Play,neutral,NEGATIVE
work on screen shot system,4,2025-04-08,CBE,Google Play,neutral,NEGATIVE
very very nice aplication,1,2025-04-08,CBE,Google Play,positive,POSITIVE
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play,positive,POSITIVE
easy and reliable,2,2025-04-08,CBE,Google Play,positive,POSITIVE
it is Very Useful app 👍,5,2025-04-07,CBE,Google Play,positive,POSITIVE
perfect app,5,2025-04-07,CBE,Google Play,positive,POSITIVE
I like it.,5,2025-04-07,CBE,Google Play,positive,POSITIVE
bugs,3,2025-04-07,CBE,Google Play,neutral,NEGATIVE
commerial Bank,5,2025-04-06,CBE,Google Play,neutral,NEGATIVE
Genat biru,2,2025-04-06,CBE,Google Play,neutral,NEGATIVE
🙏,5,2025-04-06,CBE,Google Play,neutral,NEGATIVE
it is good but it doesn't allow screen shot,4,2025-04-06,CBE,Google Play,neutral,POSITIVE
the best one,5,2025-04-06,CBE,Google Play,positive,POSITIVE
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,CBE,Google Play,positive,NEGATIVE
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,neutral,POSITIVE
Good!👍,3,2025-04-05,CBE,Google Play,positive,POSITIVE
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,positive,POSITIVE
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play,positive,NEGATIVE
easy to use,5,2025-04-05,CBE,Google Play,positive,POSITIVE
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,CBE,Google Play,positive,POSITIVE
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,CBE,Google Play,neutral,NEGATIVE
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE,Google Play,positive,NEGATIVE
cool ❤,4,2025-04-04,CBE,Google Play,positive,POSITIVE
Best app,5,2025-04-04,CBE,Google Play,positive,POSITIVE
best banking App,4,2025-04-03,CBE,Google Play,positive,POSITIVE
satisfied,5,2025-04-03,CBE,Google Play,positive,POSITIVE
this app is very necessary app many people found it,5,2025-04-03,CBE,Google Play,neutral,POSITIVE
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,CBE,Google Play,positive,POSITIVE
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,CBE,Google Play,positive,POSITIVE
perfect,5,2025-04-03,CBE,Google Play,positive,POSITIVE
thankyou,5,2025-04-02,CBE,Google Play,neutral,POSITIVE
I Like it,5,2025-04-02,CBE,Google Play,positive,POSITIVE
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,positive,NEGATIVE
smart app,5,2025-04-02,CBE,Google Play,positive,POSITIVE
isin ga'a,2,2025-04-02,CBE,Google Play,neutral,POSITIVE
it's great,5,2025-04-02,CBE,Google Play,positive,POSITIVE
very good app and stars faction with work,5,2025-04-02,CBE,Google Play,positive,POSITIVE
It is excelent,5,2025-04-01,CBE,Google Play,neutral,POSITIVE
Smart,5,2025-04-01,CBE,Google Play,positive,POSITIVE
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,CBE,Google Play,neutral,NEGATIVE
very interesting app,5,2025-04-01,CBE,Google Play,positive,POSITIVE
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,CBE,Google Play,neutral,POSITIVE
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,CBE,Google Play,neutral,NEGATIVE
Excellent🙏app,5,2025-04-01,CBE,Google Play,positive,NEGATIVE
the most useful,5,2025-04-01,CBE,Google Play,positive,POSITIVE
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,CBE,Google Play,positive,POSITIVE
Easy to use,5,2025-04-01,CBE,Google Play,positive,POSITIVE
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,CBE,Google Play,neutral,NEGATIVE
Excellent !!!,5,2025-04-01,CBE,Google Play,positive,POSITIVE
always we relay on,5,2025-04-01,CBE,Google Play,neutral,POSITIVE
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,CBE,Google Play,positive,POSITIVE
it's need more improvement like Tellbirr.,4,2025-04-01,CBE,Google Play,positive,NEGATIVE
goode app,5,2025-04-01,CBE,Google Play,neutral,POSITIVE
a very nice app.👍👍👍,5,2025-04-01,CBE,Google Play,positive,POSITIVE
safe easy & fast,5,2025-04-01,CBE,Google Play,positive,POSITIVE
it's good app,5,2025-04-01,CBE,Google Play,positive,POSITIVE
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,CBE,Google Play,negative,NEGATIVE
ጥሩ ነው,5,2025-04-01,CBE,Google Play,neutral,NEGATIVE
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,CBE,Google Play,neutral,NEGATIVE
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,CBE,Google Play,neutral,NEGATIVE
suitable app,4,2025-04-01,CBE,Google Play,neutral,POSITIVE
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play,positive,NEGATIVE
best transaction method of financial,5,2025-04-01,CBE,Google Play,positive,POSITIVE
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,CBE,Google Play,positive,POSITIVE
It literarily don't work at all,4,2025-04-01,CBE,Google Play,neutral,NEGATIVE
good give us plus,5,2025-04-01,CBE,Google Play,positive,POSITIVE
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,CBE,Google Play,positive,POSITIVE
